Words		# of Occurances
Broken!"		1632
Broken,"		1632
Brought		13056
Brown		8160
Brown,		3264
Brown-Featured		1632
Brows		1632
Brows.		1632
Bruise		1632
Brushwood		3264
Brushwood,		1632
Brushwood.		1632
Brushwood;		1632
Brutal		1632
Brute		29376
Brute!		1632
Brute's		3264
Brute,		9792
Brute,"		1632
Brute,--Altogether		1632
Brute;		1632
Brutes		11424
Brutes!		3264
Brutes,		3264
Brutes,--With		1632
Brutes.		3264
Brutes;		1632
Brutish-Looking		1632
Bubbles		3264
Buff-Coloured		1632
Build		6528
Build,		1632
Building		1632
Built		3264
Built.		1632
Bulk		1632
Bull's		1632
Bull-Creatures		1632
Bull-Men		6528
Bull-Men,		1632
Bull.		1632
Bullet,		1632
Bullied		1632
Bulwark		3264
Bulwarks		1632
Bulwarks.		3264
Bundle		1632
Bunk		1632
Bunk.		1632
Burden		1632
Burn		3264
Burning		6528
Burning,		1632
Burnt		4896
Burnt,		3264
Burrowing,		1632
Burst		3264
Bursting		1632
Bush		1632
Bushes		14688
Bushes,		8160
Bushes,--Moreau,		1632
Bushes.		8160
Bushes;		1632
Bushy		1632
Busied		1632
Busily		1632
Business		6528
Business,		1632
Busy		3264
Busy."		1632
But		349248
But,		4896
Butterflies.		1632
Butting		1632
By		270912
By!		1632
By.		1632
Bye,		1632
Byway.		1632
C.		1632
Cabin		4896
Cabin,		3264
Cabin.		6528
Cage		6528
Cage.		3264
Caged		1632
Cages		1632
Cages,		1632
Calf.		1632
Call		8160
Call,		1632
Callao,		1632
Callao.		3264
Called		17952
Calling		1632
Calling.		1632
Calls		1632
Calm		6528
Calm.		1632
Calmly		4896
Came		221952
Came!		1632
Came).		1632
Came,		6528
Came.		4896
Came;		1632
Can		31008
Can!		1632
Can't		24480
Can.		1632
Canebrake		3264
Canebrake,		3264
Canebrake.		3264
Canebrakes		1632
Canes		1632
Canes,		3264
Canes.		1632
Canine		4896
Canines,		1632
Cannibals		1632
Cannot		16320
Cap		1632
Cap.		1632
Capable		3264
Capacity		4896
Cape		1632
Cape.		1632
Caper		1632
Caplatzi		1632
Capped		1632
Captain		31008
Captain's		4896
Captain,		9792
Captain,"		3264
Captain.		8160
Captain?"		1632
Captured,		1632
Carbolic		1632
Cardinal		1632
Care		11424
Cared		1632
Career		1632
Career.		1632
Carefully,		1632
Careless!		1632
Carelessly		1632
Carelessness		1632
Cares		1632
Cargo		1632
Cargo,		1632
Caricatures		3264
Carnivore		1632
Carnivores.		1632
Carnivores;		1632
Carnivorous		1632
Carpentry		1632
Carriage		4896
Carriage,		1632
Carried		22848
Carried,		1632
Carried.		1632
Carrot,		1632
Carry		4896
Carrying		4896
Cartridges		3264
Cartridges,		1632
Cartridges.		1632
Carven		1632
Case		8160
Case.		1632
Cases		3264
Cases.		1632
Cast		6528
Casting		1632
Casual		1632
Casually		3264
Cat,		1632
Catalogue.		1632
Catastrophe		4896
Catastrophe.		1632
Catch		4896
Catch.		1632
Catching		4896
Cats,		1632
Cats."		1632
Caught		19584
Caught.		3264
Cause		3264
Caused		1632
Cautiously		1632
Central		4896
Centre.		1632
Cerebration,		1632
Ceremony,"		1632
Ceremony.		1632
Certain		34272
Certainly		9792
Certainly,		1632
Certificate,		1632
Chains		3264
Chains.		3264
Chair		3264
Chair,		4896
Chair-Rail		1632
Chair.		3264
Chalky-Faced		1632
Challenges		1632
Chamber,		1632
Chambers,		1632
Chambers.		1632
Chance		6528
Chance,		3264
Chance.		1632
Chance."		1632
Change		4896
Change,"		1632
Change.		3264
Change."		3264
Changed		4896
Changed.		1632
Changes		1632
Changes,		1632
Changes.		1632
Changing.		1632
Chant		3264
Chant,		1632
Chant.		1632
Chanted		1632
Chanting		6528
Chanting,		1632
Chaos		1632
Chapel,--And		1632
Chapter		1632
Character		3264
Character,		1632
Characteristics.		1632
Characters		1632
Charge		3264
Charles		1632
Charred		4896
